"Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","X3PAr","TS.","eFG.","TOV.","ORB.","FT.FGA","eFG..1","TOV..1","DRB.","FT.FGA.1","Arena","Attend.","Attend..G","yr","tm_yr","rank","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7"
8,"Cleveland Cavaliers",27.1,50,32,48,34,2.23,-0.06,2.17,107.8,105.4,2.4,89.8,0.362,0.228,0.538,0.492,13.3,28.4,0.263,0.49,12.8,75.7,0.226,"Gund Arena",792391,19327,2006,"Cleveland Cavaliers_2006",25,24,18,30,30,2,3.5,3
9,"Los Angeles Clippers",26.8,47,35,46,36,1.57,0.18,1.75,105.3,103.6,1.7,91.7,0.332,0.131,0.54,0.487,13.8,25.4,0.263,0.471,12.2,75.9,0.24,"STAPLES Center",712409,17376,2006,"Los Angeles Clippers_2006",22,14.5,5.5,2.5,8.5,8,22.5,25.5
10,"Indiana Pacers",27.3,41,41,47,35,1.89,-0.27,1.62,104.5,102.4,2.1,89.7,0.344,0.245,0.533,0.487,14.8,27.1,0.254,0.464,13,72.6,0.232,"Conseco Fieldhouse",663368,16180,2006,"Indiana Pacers_2006",16,11.5,11,13,10,12,26,22.5
11,"Sacramento Kings",27.2,44,38,45,37,1.54,0.07,1.61,106.7,105,1.7,91.9,0.334,0.217,0.544,0.492,13.9,25.4,0.262,0.488,13.7,72.2,0.21,"ARCO Arena (II)",709997,17317,2006,"Sacramento Kings_2006",19.5,9,13,1,3,5.5,5.5,6
12,"Washington Wizards",26.5,42,40,46,36,1.85,-0.29,1.57,109.3,107.3,2,92.3,0.375,0.209,0.538,0.484,12.8,29.5,0.284,0.504,15.1,70.9,0.256,"MCI Center",705062,17197,2006,"Washington Wizards_2006",18,16.5,17,2.5,4.5,4,2,7.5
13,"Brooklyn Nets",28.6,49,33,45,37,1.37,-0.26,1.11,103.9,102.4,1.5,89.8,0.346,0.229,0.528,0.478,13.3,24,0.262,0.476,14,76.3,0.266,"Continental Airlines Arena",691543,16867,2006,"Brooklyn Nets_2006",23.5,16.5,10,10.5,1,5.5,5.5,22.5
14,"Chicago Bulls",24.1,41,41,43,39,0.63,-0.12,0.51,104,103.4,0.6,92.9,0.292,0.219,0.527,0.487,13.9,26.3,0.216,0.464,13.9,74.7,0.295,"United Center",868720,21188,2006,"Chicago Bulls_2006",16,23,9,15.5,14,30,29.5,19
15,"Denver Nuggets",27.4,44,38,42,40,0.23,0.13,0.36,105.5,105.2,0.3,93.9,0.347,0.161,0.535,0.488,13.7,26.8,0.258,0.493,14.7,72,0.227,"Pepsi Center",702555,17135,2006,"Denver Nuggets_2006",19.5,21,20,25,24,22,20,27
16,"Milwaukee Bucks",25.5,40,42,38,44,-1.04,-0.04,-1.07,106.3,107.4,-1.1,91.2,0.322,0.203,0.535,0.492,13.8,27.3,0.238,0.504,13.8,74.6,0.262,"Bradley Center",681337,16618,2006,"Milwaukee Bucks_2006",14,3,7,10.5,17,10,12,13
17,"Golden State Warriors",25.6,34,48,37,45,-1.35,0.25,-1.11,104.8,106.2,-1.4,93.3,0.323,0.27,0.521,0.479,13,26.9,0.232,0.492,14.1,71.6,0.243,"Oakland Arena",749185,18273,2006,"Golden State Warriors_2006",8.5,18.5,19,7,4.5,11,7.5,21
18,"Orlando Magic",25.5,36,46,38,44,-1.07,-0.18,-1.26,106.3,107.5,-1.2,88.3,0.369,0.129,0.543,0.496,14.7,28.5,0.27,0.49,13,72.5,0.264,"TD Waterhouse Centre",638005,15561,2006,"Orlando Magic_2006",11,14.5,22,27,29,23,19,1
19,"Houston Rockets",28.8,34,48,36,46,-1.59,0.28,-1.3,101.6,103.3,-1.7,88,0.317,0.226,0.519,0.471,14.3,25.5,0.24,0.472,13.1,74.6,0.247,"Toyota Center",636110,15515,2006,"Houston Rockets_2006",8.5,26,24.5,23,15,17,14,19
20,"Boston Celtics",25.3,33,49,37,45,-1.54,-0.05,-1.59,105.2,106.9,-1.7,92.2,0.349,0.204,0.551,0.504,15.7,25.5,0.263,0.49,13.8,72.8,0.282,"TD Banknorth Garden",692873,16899,2006,"Boston Celtics_2006",6.5,2,30,28,20.5,25,21,14.5
21,"Minnesota Timberwolves",26.7,33,49,35,47,-1.88,0.13,-1.75,102.4,104.5,-2.1,88.8,0.299,0.149,0.524,0.48,14.2,25.2,0.226,0.475,13.4,71.3,0.236,"Target Center",662167,16150,2006,"Minnesota Timberwolves_2006",6.5,6.5,3.5,5.5,2,1,10,9
22,"Philadelphia 76ers",26.5,38,44,35,47,-1.95,-0.15,-2.1,106,108.1,-2.1,92.7,0.356,0.158,0.538,0.487,13.3,25.6,0.27,0.5,14.3,71.3,0.24,"Wachovia Center",677278,16519,2006,"Philadelphia 76ers_2006",12.5,11.5,14,15.5,6.5,15,15,11.5
23,"Utah Jazz",25.6,41,41,33,49,-2.63,0.14,-2.49,104.1,107,-2.9,87.8,0.397,0.149,0.519,0.467,15,32.4,0.286,0.49,14,73.2,0.303,"Delta Center",751621,18332,2006,"Utah Jazz_2006",16,25,23,20,24,13,17,16
24,"New Orleans Pelicans",26.3,38,44,33,49,-2.82,0.31,-2.51,103.7,106.8,-3.1,89,0.339,0.138,0.515,0.464,12.9,26.9,0.257,0.502,14.3,73.4,0.243,"Ford Center",744920,18717,2006,"New Orleans Pelicans_2006",12.5,13,26.5,21,11,19.5,3.5,5
25,"Oklahoma City Thunder",25.6,35,47,33,49,-3.02,0.15,-2.88,111.1,114.4,-3.3,91.6,0.314,0.243,0.551,0.504,13.7,30.4,0.246,0.527,13.6,69,0.26,"KeyArena at Seattle Center",664157,16199,2006,"Oklahoma City Thunder_2006",10,5,2,4,20.5,24,28,29
26,"Toronto Raptors",25.9,27,55,33,49,-2.99,-0.04,-3.03,109.5,112.7,-3.2,91.1,0.315,0.244,0.548,0.5,12.4,25.4,0.249,0.53,13.5,73.3,0.263,"Air Canada Centre",699332,17057,2006,"Toronto Raptors_2006",5,22,15.5,9,12.5,3,7.5,11.5
27,"Charlotte Hornets",25.2,26,56,30,52,-4,0.1,-3.9,102.5,106.7,-4.2,93.4,0.319,0.184,0.509,0.464,13,27.1,0.233,0.514,16.5,70.7,0.263,"Charlotte Bobcats Arena",671011,16366,2006,"Charlotte Hornets_2006",3.5,9,8,12,16,9,1,2
28,"Atlanta Hawks",22.7,26,56,28,54,-4.76,0.07,-4.69,106.4,111.6,-5.2,90.4,0.34,0.178,0.534,0.486,14.7,31.4,0.255,0.513,14.1,69.5,0.275,"Philips Arena",617817,15069,2006,"Atlanta Hawks_2006",3.5,4,12,19,24,18,22.5,17
29,"New York Knicks",25.6,23,59,24,58,-6.4,0.11,-6.3,104,111,-7,90.8,0.417,0.142,0.534,0.481,16.5,31.2,0.303,0.511,13.4,72.8,0.294,"Madison Square Garden (IV)",776176,18931,2006,"New York Knicks_2006",2,9,5.5,8,8.5,16,17,24
30,"Portland Trail Blazers",24.6,21,61,16,66,-9.45,0.54,-8.91,101.1,111.9,-10.8,87.6,0.31,0.166,0.511,0.474,14.5,26.6,0.214,0.507,12.6,68.2,0.231,"Rose Garden Arena",617019,15049,2006,"Portland Trail Blazers_2006",1,6.5,15.5,25,20.5,21,11,10
1,"San Antonio Spurs",30.4,58,24,64,18,8.43,-0.08,8.35,109.2,99.9,9.3,89.8,0.313,0.247,0.561,0.521,13.6,24.2,0.235,0.471,14,75.7,0.201,"AT&T Center",764823,18654,2007,"San Antonio Spurs_2007",28,26.5,25,20.5,29,29.5,28,30
2,"Dallas Mavericks",28.1,67,15,61,21,7.22,0.06,7.28,111.3,103.2,8.1,89.5,0.317,0.218,0.559,0.509,13.4,28.7,0.256,0.477,14.2,75,0.265,"American Airlines Center",834411,20351,2007,"Dallas Mavericks_2007",30,21,22,27,26.5,17,14.5,21
3,"Phoenix Suns",27.6,61,21,59,23,7.3,-0.03,7.28,113.9,106.4,7.5,95.6,0.267,0.287,0.59,0.551,13.4,22.7,0.215,0.492,13.6,71.9,0.206,"US Airways Center",755302,18422,2007,"Phoenix Suns_2007",29,24.5,18,26,14,13,4,19
4,"Houston Rockets",28.2,52,30,55,27,4.85,0.19,5.04,106,100.7,5.3,90.7,0.292,0.29,0.54,0.499,13.6,25.7,0.22,0.466,13.6,77,0.23,"Toyota Center",678362,16545,2007,"Houston Rockets_2007",26,24.5,23,15,17,14,19,25
5,"Chicago Bulls",26,49,33,55,27,5.01,-0.49,4.52,104.9,99.6,5.3,93.6,0.313,0.186,0.534,0.493,14.7,28.6,0.229,0.473,16.2,74.3,0.252,"United Center",912364,22253,2007,"Chicago Bulls_2007",23,9,15.5,14,30,29.5,19,19
6,"Detroit Pistons",29,53,29,53,29,4.16,-0.47,3.69,108.9,104.2,4.7,87.3,0.307,0.201,0.535,0.488,12,28.3,0.237,0.477,14.3,70.9,0.234,"The Palace of Auburn Hills",905116,22076,2007,"Detroit Pistons_2007",27,29,14,6.5,7,9,7.5,8
7,"Cleveland Cavaliers",26.9,50,32,52,30,3.83,-0.5,3.33,105.5,101.3,4.2,90.8,0.32,0.211,0.522,0.484,13.4,29.7,0.223,0.48,14.7,75.8,0.243,"Quicken Loans Arena",837883,20436,2007,"Cleveland Cavaliers_2007",24,18,30,30,2,3.5,3,9
8,"Utah Jazz",25.9,51,31,49,33,2.87,0.2,3.06,110.1,107,3.1,91.6,0.38,0.163,0.551,0.502,14.5,31.7,0.283,0.496,14.4,75.1,0.314,"EnergySolutions Arena",802214,19566,2007,"Utah Jazz_2007",25,23,20,24,13,17,16,4.5
9,"Denver Nuggets",26.5,45,37,45,37,1.62,0.07,1.69,107.6,105.9,1.7,97.4,0.36,0.212,0.548,0.501,14.6,28.9,0.268,0.499,14.5,71.8,0.203,"Pepsi Center",706437,17230,2007,"Denver Nuggets_2007",21,20,25,24,22,20,27,11
10,"Toronto Raptors",26,47,35,44,38,0.99,-0.38,0.61,107,106,1,92.6,0.303,0.224,0.55,0.504,13,22.2,0.239,0.503,14.3,74.5,0.219,"Air Canada Centre",748603,18259,2007,"Toronto Raptors_2007",22,15.5,9,12.5,3,7.5,11.5,19
11,"Orlando Magic",25.6,40,42,43,39,0.78,-0.43,0.35,104.9,104.1,0.8,89.9,0.393,0.158,0.544,0.5,16.3,29.3,0.276,0.48,14.6,73.7,0.286,"Amway Arena",700887,17095,2007,"Orlando Magic_2007",14.5,22,27,29,23,19,1,3
12,"Los Angeles Lakers",25.3,42,40,41,41,-0.07,0.32,0.24,108.6,108.6,0,93.5,0.333,0.259,0.554,0.511,14.3,26.1,0.249,0.5,13.5,72.3,0.262,"STAPLES Center",778415,18986,2007,"Los Angeles Lakers_2007",18.5,28,29,28,26.5,24.5,19,6
13,"Golden State Warriors",24.6,42,40,40,42,-0.34,0.34,0,107,107.4,-0.4,99.2,0.3,0.279,0.548,0.512,14.1,25.6,0.215,0.506,16.1,69.6,0.264,"Oracle Arena",742267,18104,2007,"Golden State Warriors_2007",18.5,19,7,4.5,11,7.5,21,23
14,"Los Angeles Clippers",27.5,40,42,40,42,-0.46,0.39,-0.07,105.1,105.6,-0.5,90.8,0.355,0.143,0.537,0.481,14.5,27.2,0.28,0.488,13.3,74.7,0.249,"STAPLES Center",755261,18421,2007,"Los Angeles Clippers_2007",14.5,5.5,2.5,8.5,8,22.5,25.5,28
15,"Washington Wizards",26.8,41,41,40,42,-0.51,-0.28,-0.8,110.1,110.6,-0.5,94.1,0.356,0.237,0.542,0.491,12.6,28.1,0.272,0.517,14.4,71,0.249,"Verizon Center",753283,18373,2007,"Washington Wizards_2007",16.5,17,2.5,4.5,4,2,7.5,16.5
16,"Brooklyn Nets",28.2,41,41,39,43,-0.77,-0.23,-1,105.7,106.6,-0.9,91.4,0.338,0.263,0.546,0.504,14.2,24.6,0.245,0.49,13.7,74.4,0.266,"Continental Airlines Arena",693955,16926,2007,"Brooklyn Nets_2007",16.5,10,10.5,1,5.5,5.5,22.5,16.5
17,"New Orleans Pelicans",26.4,39,43,36,46,-1.57,0.38,-1.19,104.8,106.5,-1.7,90.2,0.291,0.188,0.52,0.479,13.6,29.1,0.215,0.499,13.2,74.7,0.212,"Ford Center",731165,17954,2007,"New Orleans Pelicans_2007",13,26.5,21,11,19.5,3.5,5,10
18,"Miami Heat",29.3,44,38,38,44,-0.91,-0.29,-1.21,104.3,105.3,-1,89.9,0.321,0.245,0.541,0.506,14.3,24.9,0.222,0.485,13.8,73.3,0.232,"AmericanAirlines Arena",808541,19721,2007,"Miami Heat_2007",20,1,17,18,28,27,30,25
19,"Sacramento Kings",27.3,33,49,36,46,-1.8,0.46,-1.35,106.2,108,-1.8,94.8,0.379,0.232,0.545,0.491,13.5,23.1,0.289,0.513,14.9,72.5,0.24,"ARCO Arena (II)",709997,17317,2007,"Sacramento Kings_2007",9,13,1,3,5.5,5.5,6,7
20,"Oklahoma City Thunder",25.9,31,51,33,49,-2.89,0.45,-2.45,107.2,110.3,-3.1,91.8,0.288,0.219,0.544,0.499,14.5,27.8,0.228,0.515,14.1,70.9,0.243,"KeyArena at Seattle Center",654163,15955,2007,"Oklahoma City Thunder_2007",5,2,4,20.5,24,28,29,29
21,"Indiana Pacers",27.2,35,47,34,48,-2.44,-0.18,-2.62,102.9,105.5,-2.6,92.4,0.324,0.212,0.523,0.474,15.1,28.4,0.246,0.491,14.8,72.7,0.271,"Conseco Fieldhouse",629750,15360,2007,"Indiana Pacers_2007",11.5,11,13,10,12,26,22.5,27
22,"New York Knicks",25.4,33,49,33,49,-2.85,-0.21,-3.06,105.7,108.8,-3.1,90.8,0.377,0.216,0.539,0.494,15.9,31,0.27,0.504,13,74,0.246,"Madison Square Garden (IV)",770617,18796,2007,"New York Knicks_2007",9,5.5,8,8.5,16,17,24,12
23,"Minnesota Timberwolves",27.7,32,50,30,52,-3.67,0.51,-3.16,103.9,107.9,-4,91,0.291,0.167,0.537,0.49,14.8,25.1,0.231,0.498,13.3,72.1,0.226,"Target Center",655947,15999,2007,"Minnesota Timberwolves_2007",6.5,3.5,5.5,2,1,10,9,14
24,"Philadelphia 76ers",26.2,35,47,32,50,-3.02,-0.23,-3.26,103.6,106.9,-3.3,90.7,0.333,0.128,0.53,0.48,14.6,27.2,0.255,0.501,14.7,70.8,0.221,"Wachovia Center",608603,14844,2007,"Philadelphia 76ers_2007",11.5,14,15.5,6.5,15,15,11.5,2
25,"Boston Celtics",23.5,24,58,31,51,-3.41,-0.29,-3.7,103.2,106.9,-3.7,92,0.337,0.199,0.53,0.479,15.4,27,0.259,0.502,14.5,73.8,0.28,"TD Banknorth Garden",690576,16843,2007,"Boston Celtics_2007",2,30,28,20.5,25,21,14.5,4.5
26,"Portland Trail Blazers",24.4,32,50,29,53,-4.29,0.51,-3.78,105.1,109.9,-4.8,88.3,0.314,0.193,0.53,0.483,14.5,28.2,0.241,0.508,13.5,73,0.267,"Rose Garden Arena",670778,16360,2007,"Portland Trail Blazers_2007",6.5,15.5,25,20.5,21,11,10,25
27,"Charlotte Hornets",25.5,33,49,30,52,-3.74,-0.22,-3.97,103.6,107.6,-4,92,0.322,0.193,0.524,0.48,13.9,26.4,0.236,0.5,14.7,71.6,0.279,"Charlotte Bobcats Arena",637520,15549,2007,"Charlotte Hornets_2007",9,8,12,16,9,1,2,15
28,"Milwaukee Bucks",26,28,54,29,53,-4.38,-0.06,-4.43,107,111.7,-4.7,92.3,0.286,0.219,0.541,0.504,14.1,27.6,0.209,0.522,14.5,68.1,0.234,"Bradley Center",663629,16186,2007,"Milwaukee Bucks_2007",3,7,10.5,17,10,12,13,1
29,"Memphis Grizzlies",26.2,22,60,27,55,-5.15,0.71,-4.44,106.9,112.3,-5.4,93.6,0.374,0.211,0.555,0.504,15.2,25.9,0.285,0.529,14,71.1,0.237,"FedEx Forum",600836,14655,2007,"Memphis Grizzlies_2007",1,3.5,5.5,12.5,19.5,24.5,25.5,22
30,"Atlanta Hawks",24.1,30,52,27,55,-4.76,-0.1,-4.86,103,108.3,-5.3,90,0.346,0.163,0.523,0.471,15.1,29.2,0.263,0.503,14.5,70.9,0.268,"Philips Arena",639375,15595,2007,"Atlanta Hawks_2007",4,12,19,24,18,22.5,17,13
1,"Boston Celtics",27.9,66,16,67,15,10.26,-0.95,9.3,110.2,98.9,11.3,90.9,0.346,0.249,0.569,0.522,14.7,26.6,0.267,0.457,15.2,74.4,0.253,"TD Banknorth Garden",763584,18624,2008,"Boston Celtics_2008",30,28,20.5,25,21,14.5,4.5,15
2,"Los Angeles Lakers",26.7,57,25,59,23,7.26,0.09,7.34,113,105.5,7.5,95.6,0.333,0.257,0.57,0.525,12.9,26.3,0.256,0.485,12.9,73.4,0.214,"STAPLES Center",778877,18997,2008,"Los Angeles Lakers_2008",28,29,28,26.5,24.5,19,6,4
3,"Utah Jazz",25.3,54,28,59,23,6.88,-0.01,6.86,113.8,106.5,7.3,93.2,0.349,0.166,0.573,0.528,13.6,29.5,0.265,0.501,15,74.1,0.294,"EnergySolutions Arena",816211,19908,2008,"Utah Jazz_2008",23,20,24,13,17,16,4.5,12
4,"Detroit Pistons",28.3,59,23,62,20,7.39,-0.72,6.67,111.4,102.9,8.5,87.3,0.3,0.203,0.539,0.495,11.4,29.4,0.23,0.47,13.4,73.7,0.244,"The Palace of Auburn Hills",905116,22076,2008,"Detroit Pistons_2008",29,14,6.5,7,9,7.5,8,8
5,"New Orleans Pelicans",27.1,56,26,56,26,5.28,0.18,5.46,111.5,105.7,5.8,89.9,0.251,0.239,0.548,0.512,11.4,27,0.193,0.501,13.5,75.4,0.184,"New Orleans Arena",581432,14181,2008,"New Orleans Pelicans_2008",26.5,21,11,19.5,3.5,5,10,17.5
6,"Phoenix Suns",29.3,55,27,54,28,5.05,0.09,5.14,113.3,108.1,5.2,96.7,0.292,0.26,0.59,0.551,13.4,22.4,0.228,0.488,11.8,70.9,0.191,"US Airways Center",755302,18422,2008,"Phoenix Suns_2008",24.5,18,26,14,13,4,19,14
7,"San Antonio Spurs",31.4,56,26,55,27,4.79,0.31,5.1,107.2,101.8,5.4,88.8,0.276,0.251,0.543,0.504,12.6,23.4,0.21,0.477,12.8,77.1,0.201,"AT&T Center",761149,18565,2008,"San Antonio Spurs_2008",26.5,25,20.5,29,29.5,28,30,25.5
8,"Houston Rockets",28.3,55,27,55,27,4.68,0.15,4.83,106.8,101.6,5.2,90.4,0.276,0.255,0.528,0.492,13,29.1,0.2,0.465,12.8,74.8,0.214,"Toyota Center",718524,17525,2008,"Houston Rockets_2008",24.5,23,15,17,14,19,25,27.5
9,"Orlando Magic",26.7,52,30,56,26,5.46,-0.68,4.79,111.3,105.5,5.8,93.4,0.355,0.322,0.575,0.537,13.6,23.4,0.256,0.484,12.3,74.8,0.217,"Amway Arena",709346,17301,2008,"Orlando Magic_2008",22,27,29,23,19,1,3,5
10,"Dallas Mavericks",28.9,51,31,54,28,4.54,0.16,4.7,111.1,106.1,5,90.2,0.318,0.215,0.554,0.502,12.3,26.7,0.259,0.474,11.7,75,0.252,"American Airlines Center",831738,20286,2008,"Dallas Mavericks_2008",21,22,27,26.5,17,14.5,21,21.5
11,"Denver Nuggets",28.5,50,32,51,31,3.71,0.03,3.74,110,106.3,3.7,99.7,0.358,0.228,0.557,0.51,12.9,25.5,0.269,0.499,14.1,72.1,0.203,"Pepsi Center",711962,17365,2008,"Denver Nuggets_2008",20,25,24,22,20,27,11,7
12,"Toronto Raptors",26.3,41,41,49,33,2.9,-0.44,2.47,110.2,107,3.2,90.2,0.247,0.217,0.551,0.511,11.4,23.4,0.2,0.505,13.5,75,0.205,"Air Canada Centre",796835,19435,2008,"Toronto Raptors_2008",15.5,9,12.5,3,7.5,11.5,19,20
13,"Golden State Warriors",25.5,48,34,47,35,2.21,0.17,2.38,111.8,109.5,2.3,98.8,0.276,0.295,0.548,0.511,11.5,27.2,0.208,0.509,14.7,70.3,0.258,"Oracle Arena",804864,19631,2008,"Golden State Warriors_2008",19,7,4.5,11,7.5,21,23,30
14,"Philadelphia 76ers",25.3,40,42,42,40,0.41,-0.23,0.19,106.4,106,0.4,90.4,0.321,0.143,0.522,0.482,13.4,31.8,0.227,0.504,15.1,72,0.205,"Wachovia Center",609675,14870,2008,"Philadelphia 76ers_2008",14,15.5,6.5,15,15,11.5,2,3
15,"Portland Trail Blazers",24.1,41,41,38,44,-0.98,0.45,-0.52,107.3,108.4,-1.1,87.9,0.281,0.218,0.532,0.489,12.6,26.8,0.216,0.491,12.1,71.8,0.212,"Rose Garden Arena",801566,19550,2008,"Portland Trail Blazers_2008",15.5,25,20.5,21,11,10,25,23
16,"Cleveland Cavaliers",27.1,45,37,40,42,-0.35,-0.17,-0.53,106,106.4,-0.4,90.2,0.308,0.231,0.52,0.48,13.1,30.4,0.221,0.494,12.9,75.9,0.24,"Quicken Loans Arena",839074,20465,2008,"Cleveland Cavaliers_2008",18,30,30,2,3.5,3,9,24
17,"Washington Wizards",27.2,43,39,40,42,-0.33,-0.28,-0.61,109.2,109.6,-0.4,89.5,0.297,0.241,0.535,0.489,12.5,28.9,0.233,0.513,13.5,72.8,0.217,"Verizon Center",736461,17962,2008,"Washington Wizards_2008",17,2.5,4.5,4,2,7.5,16.5,19
18,"Sacramento Kings",27.3,38,44,35,47,-2.26,0.4,-1.86,107.5,109.9,-2.4,94.7,0.346,0.208,0.556,0.503,14.8,25.2,0.276,0.51,13.9,71.7,0.256,"ARCO Arena (II)",580181,14151,2008,"Sacramento Kings_2008",13,1,3,5.5,5.5,6,7,6
19,"Indiana Pacers",26.7,36,46,37,45,-1.4,-0.46,-1.87,106,107.5,-1.5,97.7,0.292,0.289,0.54,0.498,13.5,24.4,0.224,0.498,14.1,73.9,0.271,"Conseco Fieldhouse",501092,12222,2008,"Indiana Pacers_2008",11,13,10,12,26,22.5,27,12
20,"Atlanta Hawks",24.2,37,45,36,46,-1.82,-0.41,-2.23,106.9,108.9,-2,91.1,0.34,0.165,0.535,0.483,14,29.7,0.263,0.501,12.9,71.7,0.217,"Philips Arena",667518,16281,2008,"Atlanta Hawks_2008",12,19,24,18,22.5,17,13,29
21,"Chicago Bulls",25.7,33,49,32,50,-3.09,-0.11,-3.19,103.9,107.2,-3.3,93,0.296,0.19,0.515,0.47,13.4,28.9,0.223,0.496,14.2,73.1,0.258,"United Center",901502,21988,2008,"Chicago Bulls_2008",9,15.5,14,30,29.5,19,19,21.5
22,"Charlotte Hornets",26.3,32,50,29,53,-4.38,-0.11,-4.49,104.6,109.4,-4.8,91.8,0.323,0.22,0.532,0.492,13.9,25.6,0.23,0.505,13.4,71,0.235,"Charlotte Bobcats Arena",603403,14717,2008,"Charlotte Hornets_2008",8,12,16,9,1,2,15,9
23,"Brooklyn Nets",27.4,34,48,27,55,-5.06,-0.09,-5.15,104,109.4,-5.4,91.5,0.347,0.222,0.528,0.481,14.2,26.6,0.255,0.497,12.7,73.8,0.271,"Izod Center",641921,15657,2008,"Brooklyn Nets_2008",10,10.5,1,5.5,5.5,22.5,16.5,12
24,"Memphis Grizzlies",24.5,22,60,25,57,-6.21,0.45,-5.76,105,111.4,-6.4,95.3,0.311,0.264,0.539,0.5,14,23.8,0.225,0.521,12.2,73.4,0.196,"FedEx Forum",523578,12770,2008,"Memphis Grizzlies_2008",3.5,5.5,12.5,19.5,24.5,25.5,22,25.5
25,"Minnesota Timberwolves",24.6,22,60,23,59,-6.78,0.52,-6.26,103.8,111.2,-7.4,91.9,0.248,0.185,0.518,0.484,13.6,27.5,0.183,0.513,12.9,73.6,0.269,"Target Center",593537,14477,2008,"Minnesota Timberwolves_2008",3.5,5.5,2,1,10,9,14,1
26,"New York Knicks",25.7,23,59,23,59,-6.61,0.06,-6.55,104.7,111.9,-7.2,91.6,0.31,0.215,0.518,0.475,13.4,28.6,0.226,0.518,12.1,72.7,0.229,"Madison Square Garden (IV)",783739,19116,2008,"New York Knicks_2008",5.5,8,8.5,16,17,24,12,2
27,"Los Angeles Clippers",28.5,23,59,21,61,-7.27,0.71,-6.56,101.2,109.1,-7.9,92.1,0.338,0.167,0.519,0.465,13.7,23.1,0.264,0.503,12.8,73.1,0.236,"STAPLES Center",692408,16888,2008,"Los Angeles Clippers_2008",5.5,2.5,8.5,8,22.5,25.5,28,27.5
28,"Milwaukee Bucks",25.8,26,56,23,59,-6.89,-0.03,-6.92,105.3,112.8,-7.5,91.3,0.294,0.195,0.522,0.482,13.7,30,0.215,0.524,13,73,0.25,"Bradley Center",639421,15596,2008,"Milwaukee Bucks_2008",7,10.5,17,10,12,13,1,16
29,"Oklahoma City Thunder",25.4,20,62,19,63,-8.76,0.72,-8.04,100.5,109.5,-9,96.3,0.265,0.134,0.509,0.467,14.3,26.8,0.204,0.503,11.9,73.7,0.215,"KeyArena at Seattle Center",547556,13355,2008,"Oklahoma City Thunder_2008",2,4,20.5,24,28,29,29,17.5
30,"Miami Heat",27.4,15,67,18,64,-8.65,0.11,-8.53,100.5,110,-9.5,90.2,0.3,0.217,0.522,0.482,14.4,22.1,0.218,0.51,13.6,71.9,0.245,"AmericanAirlines Arena",798004,19464,2008,"Miami Heat_2008",1,17,18,28,27,30,25,10
1,"Cleveland Cavaliers",26.6,66,16,65,17,8.93,-0.25,8.68,112.4,102.4,10,88.7,0.312,0.259,0.56,0.519,12.5,27.7,0.236,0.468,13.5,74.6,0.226,"Quicken Loans Arena",841000,20512,2009,"Cleveland Cavaliers_2009",30,30,2,3.5,3,9,24,28
2,"Boston Celtics",27.8,62,20,61,21,7.51,-0.07,7.44,110.5,102.3,8.2,90.4,0.328,0.214,0.571,0.528,15,27.9,0.251,0.47,14,75.6,0.253,"TD Banknorth Garden",763584,18624,2009,"Boston Celtics_2009",28,20.5,25,21,14.5,4.5,15,22.5
3,"Los Angeles Lakers",27.4,65,17,61,21,7.66,-0.55,7.11,112.8,104.7,8.1,94.3,0.299,0.217,0.555,0.513,12.3,29.4,0.23,0.49,14.2,73,0.213,"STAPLES Center",778877,18997,2009,"Los Angeles Lakers_2009",29,28,26.5,24.5,19,6,4,2
4,"Orlando Magic",27.3,59,23,59,23,6.7,-0.21,6.48,109.2,101.9,7.3,92.3,0.351,0.335,0.559,0.52,13.4,24,0.251,0.465,12.3,75.9,0.209,"Amway Arena",698768,17043,2009,"Orlando Magic_2009",27,29,23,19,1,3,5,11
5,"Portland Trail Blazers",24,54,28,56,26,5.34,-0.35,5,113.9,107.8,6.1,86.6,0.306,0.239,0.553,0.511,12.5,32.6,0.234,0.499,13.2,75,0.227,"Rose Garden Arena",841499,20524,2009,"Portland Trail Blazers_2009",25,20.5,21,11,10,25,23,18.5
6,"Houston Rockets",27.9,53,29,53,29,4,-0.27,3.73,108.4,104,4.4,90.2,0.292,0.254,0.548,0.501,13.6,26.4,0.235,0.479,11.9,75.3,0.192,"Toyota Center",717669,17504,2009,"Houston Rockets_2009",23,15,17,14,19,25,27.5,13.5
7,"San Antonio Spurs",30.4,54,28,52,30,3.76,-0.4,3.36,108.5,104.3,4.2,88.4,0.251,0.248,0.548,0.513,11.7,22.1,0.191,0.487,11.7,78,0.191,"AT&T Center",749048,18269,2009,"San Antonio Spurs_2009",25,20.5,29,29.5,28,30,25.5,29
8,"Denver Nuggets",27.7,54,28,50,32,3.41,-0.29,3.13,110.4,106.8,3.6,94.3,0.382,0.227,0.563,0.512,14.2,27.5,0.29,0.485,14.1,71.7,0.259,"Pepsi Center",706165,17224,2009,"Denver Nuggets_2009",25,24,22,20,27,11,7,9
9,"Utah Jazz",25.5,48,34,48,34,2.65,-0.34,2.31,110.1,107.3,2.8,93.1,0.355,0.169,0.554,0.504,13.6,28.2,0.274,0.505,15,72.7,0.262,"EnergySolutions Arena",816042,19903,2009,"Utah Jazz_2009",20,24,13,17,16,4.5,12,12
